,statename,stateabbr,statefip,tweetidg,tweet,sentcat_l,groupref_l,food_l,exclude_l,notes,nonfoodlocation,ambiguous,nstatedenominator,county,zipcode,tract2010,happy,username,timestamp,timezone,followers,latitude,longitude,negative,racecat,raceterm,raceterm2,raceterm3,raceterm4,raceterm5,sentrace,race,blackcat,middlecat,hispcat,asiancat,sentblack,sentmiddle,senthisp,sentasian,middlecat1,hispcat1,sentmiddle1,senthisp1,coder,AR,sentcat3,happy_manual,sad_manual,tract2010s,nstate,text,target
11,Alabama,AL,01,588357752830894080g,"I'm killing these Niggas... Like Hernandez"" - @Tyga",-1,0.0,0,0.0,,0.0,0.0,893865,1083,35756.0,1083021200.0,0,carolne,2015-04-15 09:06:34.408,Central Time (US & Canada),,34.705344,-86.792131,1.0,Black,nigga,,,,,0.0,1,1.0,,,,0.0,,,,,,,,ryan,,-1.0,0.0,1.0,01083021200,93.0,killing these niggas like hernandez,0
12,Alabama,AL,01,593551184167837697g,I swear kierra been one of the realist niggas since middle school,1,0.0,0,0.0,,0.0,0.0,893865,1073,35226.0,1073014409.0,0,Reni,2015-04-29 17:03:24.756,Eastern Time (US & Canada),,33.403831,-86.807742,1.0,Black,nigga,,,,,0.0,1,1.0,,,,0.0,,,,,,,,lynn,,1.0,1.0,0.0,01073014409,93.0,swear kierra been one of the realist niggas since middle school,1
13,Alabama,AL,01,588919942097018880g,And seeing how shorty nigga died she ganna think her next nigga love her even if he dont,-1,0.0,0,0.0,,0.0,0.0,893865,1087,36088.0,1087231700.0,1,Luis. D,2015-04-16 22:20:30.896,null,,32.432611,-85.708538,1.0,Black,nigga,,,,,1.0,1,1.0,,,,1.0,,,,,,,,ryan,,-1.0,0.0,1.0,01087231700,93.0,and seeing how shorty nigga died she ganna think her next nigga love her even if he dont,0
14,Alabama,AL,01,678297086648041473g,@lowetheshit @OG_SED @youngmuley kmsl police ass niggas man ,-1,1.0,0,,,,,893865,1097,36609.0,1097003204.0,0,dominic,2015-12-19 12:33:22.615,Eastern Time (US & Canada),3325.0,30.67025079,-88.13710064,1.0,Black,nigga,,,,,0.0,1,1.0,,,,0.0,,,,,,,,shrikha,,-1.0,0.0,1.0,01097003204,93.0,kmsl police ass niggas man,0
15,Alabama,AL,01,590346382294315009g,Been ing Yall nigga,-1,0.0,0,0.0,,0.0,0.0,893865,1101,36117.0,1101005402.0,0,Sandra,2015-04-20 20:48:40.675,null,,32.395977,-86.190764,1.0,Black,nigga,,,,,0.0,1,1.0,,,,0.0,,,,,,,,ryan,,-1.0,0.0,1.0,01101005402,93.0,been ing yall nigga,0
16,Alabama,AL,01,713933168567590913g,Truth ??RT @__NeCole: Y'all gone believe me one day when I tell y'all these BHam niggas the devil. Don't say I didn't warn y'all ??,-1,1.0,0,,,,,893865,1089,35810.0,1089000702.0,0,Gary O. Moore,2016-03-26 21:38:26.729,null,462.0,34.756279,-86.594726,1.0,Black,nigga,,,,,0.0,1,1.0,,,,0.0,,,,,,,,shrikha,,-1.0,0.0,1.0,01089000702,93.0,truth rt all gone believe me one day when tell all these bham niggas the devil don say did not warn all,0
17,Alabama,AL,01,588040902217703424g,"You sorry , pathetic & far from authentic .. You lying & petty, just like these other niggas",-1,0.0,0,0.0,,0.0,0.0,893865,1101,36116.0,1101005611.0,0,Britt,2015-04-14 12:07:31.135,Central Time (US & Canada),,32.313168,-86.1731,1.0,Black,nigga,,,,,0.0,1,1.0,,,,0.0,,,,,,,,ryan,,-1.0,0.0,1.0,01101005611,93.0,you sorry pathetic far from authentic you lying petty just like these other niggas,0
18,Alabama,AL,01,588649539407634432g,real niggas fwm,1,0.0,0,0.0,,0.0,0.0,893865,1085,36043.0,1085780800.0,0,Detroit CP,2015-04-16 04:26:01.775,Eastern Time (US & Canada),,32.275433,-86.495322,1.0,Black,nigga,,,,,0.0,1,1.0,,,,0.0,,,,,,,,ryan,,1.0,1.0,0.0,01085780800,93.0,real niggas fwm,1
19,Alabama,AL,01,590573168601001984g,"All the real niggas locked up in prison , most of my niggas robbing or either killing . Some of my niggas on the block drug dealing .",-1,1.0,0,0.0,,0.0,0.0,893865,1073,35216.0,1073012915.0,0,Trey Crosby III Guru,2015-04-21 11:49:50.623,Eastern Time (US & Canada),,33.424336,-86.801216,1.0,Black,nigga,,,,,0.0,1,1.0,,,,0.0,,,,,,,,lynn,,-1.0,0.0,1.0,01073012915,93.0,all the real niggas locked up in prison most of my niggas robbing or either killing some of my niggas on the block drug dealing,0
20,Alabama,AL,01,593288360397041664g,"I think I'm gone die celibate, niggas be whole hoes outchea .",-1,0.0,0,0.0,,0.0,0.0,893865,1073,35216.0,1073012915.0,0,Dobie Tanpaw,2015-04-28 23:39:02.817,Eastern Time (US & Canada),,33.424296,-86.801236,1.0,Black,nigga,,,,,0.0,1,1.0,,,,0.0,,,,,,,,lynn,,-1.0,0.0,1.0,01073012915,93.0,think gone die celibate niggas be whole hoes outchea,0
21,Alabama,AL,01,592771761822904322g,Tre just said im too ghetto for him,-1,0.0,0,0.0,,0.0,0.0,893865,1033,35674.0,1033020500.0,0,JT,2015-04-27 13:26:16.128,null,,34.739406,-87.70154,1.0,Black,ghetto,,,,,0.0,1,1.0,,,,0.0,,,,,,,,lynn,,-1.0,0.0,1.0,01033020500,93.0,tre just said im too ghetto for him,0
22,Alabama,AL,01,589999332142686210g,@alexdsessions smh I woulda told him nigga it's prom we gotta turn uo,0,0.0,0,0.0,,0.0,0.0,893865,1097,36618.0,1097003402.0,0,Arabella,2015-04-19 21:49:37.351,Eastern Time (US & Canada),,30.729135,-88.150631,1.0,Black,nigga,,,,,0.0,1,1.0,,,,0.0,,,,,,,,ryan,,0.0,0.0,0.0,01097003402,93.0,smh woulda told him nigga it prom we gotta turn uo,0
23,Alabama,AL,01,588182497252487170g,"Meditation with Ancestors time. (@ Occupied Cherokee Nation in Boaz, AL) https://t.co/LeGd8UCffA",0,0.0,0,0.0,,1.0,0.0,893865,1095,35957.0,1095031200.0,0,annie,2015-04-14 21:30:14.529,America/Chicago,,34.187515,-86.149738,0.0,Native American,cherokee nation,,,,,0.0,1,,,,,,,,,,,,,ryan,,0.0,0.0,0.0,01095031200,93.0,meditation with ancestors time occupied cherokee nation in boaz al,0
24,Alabama,AL,01,677975714902118400g,@Kenball_LA Bally welcome nigga,1,,0,,,,,893865,1081,36830.0,1081040902.0,1,TMJ-NH Retail Jobs,2015-12-18 15:16:21.941,null,118.0,32.6203931,-85.4564303,1.0,Black,nigga,,,,,1.0,1,1.0,,,,1.0,,,,,,,,shrikha,,1.0,1.0,0.0,01081040902,93.0,bally welcome nigga,1
25,Alabama,AL,01,588955816532647936g,Still on plan A pussy niggas on plan B,1,0.0,0,0.0,,0.0,0.0,893865,1015,36265.0,1015002102.0,0,,2015-04-17 00:43:03.980,Central Time (US & Canada),,33.820568,-85.754537,1.0,Black,nigga,,,,,0.0,1,1.0,,,,0.0,,,,,,,,ryan,,1.0,1.0,0.0,01015002102,93.0,still on plan pussy niggas on plan,1
26,Alabama,AL,01,593229885058863106g,but I look Asian in my cap and gown pics... so there's that,0,1.0,0,0.0,,0.0,0.0,893865,1075,35574.0,1075030200.0,1,CoreyJames,2015-04-28 19:46:41.191,Central Time (US & Canada),,33.576146,-87.977309,0.0,Asian,asian,,,,,1.0,1,,,,1.0,,,,1.0,,,,,lynn,,0.0,0.0,0.0,01075030200,93.0,but look asian in my cap and gown pics so there that,0
27,Alabama,AL,01,588533533150466048g,@blvncve she knows how too end a nigga night,-1,0.0,0,0.0,,0.0,0.0,893865,1073,35235.0,1073011104.0,1,Eric McFarland,2015-04-15 20:45:03.850,null,,33.644984,-86.647498,1.0,Black,nigga,,,,,1.0,1,1.0,,,,1.0,,,,,,,,ryan,,-1.0,0.0,1.0,01073011104,93.0,she knows how too end nigga night,0
28,Alabama,AL,01,587835054803578880g,THESE NIGGA JUST DONT KNOW  https://t.co/vFN654s4od,-1,0.0,0,0.0,,0.0,0.0,893865,1125,35401.0,1125011200.0,0,ZACK SEGEL,2015-04-13 22:29:33.490,null,,33.219131,-87.544875,1.0,Black,nigga,,,,,0.0,1,1.0,,,,0.0,,,,,,,,ryan,,-1.0,0.0,1.0,01125011200,93.0,these nigga just dont know,0
29,Alabama,AL,01,592360631086358528g,Gone fuck that nigga get it over wit.,-1,0.0,0,0.0,,0.0,0.0,893865,1015,36265.0,1015002102.0,0,Mike J Fox,2015-04-26 10:12:34.878,Central Time (US & Canada),,33.820871,-85.754249,1.0,Black,nigga,,,,,0.0,1,1.0,,,,0.0,,,,,,,,lynn,,-1.0,0.0,1.0,01015002102,93.0,gone fuck that nigga get it over wit,0
30,Alabama,AL,01,593392805180997632g,"I'm at Levite Jewish Community Center - @levitejcc in Birmingham, AL https://t.co/Ih82pP3KDT",0,0.0,0,0.0,,1.0,0.0,893865,1073,35213.0,1073002306.0,0,Detroit CP,2015-04-29 06:34:04.232,Central Time (US & Canada),,33.511206,-86.754186,0.0,,jewish,,,,,0.0,1,,,,,,,,,,,,,lynn,,0.0,0.0,0.0,01073002306,93.0,at levite jewish community center in birmingham al,0
31,Alabama,AL,01,692412329565224963g,She done fell in love with a hood nigga,-1,1.0,0,,,,,893865,1077,35630.0,1077010900.0,1,"Patricia Reyes, DMD",2016-01-27 11:22:18.783,Central Time (US & Canada),2231.0,34.82100931,-87.66942312,1.0,Black,nigga,,,,,1.0,1,1.0,,,,1.0,,,,,,,,shrikha,,-1.0,0.0,1.0,01077010900,93.0,she done fell in love with hood nigga,0
32,Alabama,AL,01,681520104035581952g,#Daleville Oriental Grocery / https://t.co/rfUS6yoJ8y good https://t.co/SKhxaGmItq,0,,0,,,,,893865,1045,36322.0,1045021102.0,0,Sosa400,2015-12-28 10:00:29.962,Central Time (US & Canada),4243.0,31.30756107,-85.7159129,0.0,Asian,oriental,,,,,0.0,1,,,,1.0,,,,0.0,,,,,shrikha,,0.0,0.0,0.0,01045021102,93.0,daleville oriental grocery good,0
33,Alabama,AL,01,695804234718167041g,These niggas dun righteous left me,1,,0,,,,,893865,1073,35214.0,1073001100.0,0,Jason Diggy Clark,2016-02-05 20:00:31.835,Central Time (US & Canada),4671.0,33.5325615,-86.8805741,1.0,Black,nigga,,,,,0.0,1,1.0,,,,0.0,,,,,,,,shrikha,,1.0,1.0,0.0,01073001100,93.0,these niggas dun righteous left me,1
34,Alabama,AL,01,590582067756412930g,Cause shawty you ain't all that if you wanna be really truthful niggas just thirsty,-1,0.0,0,0.0,,0.0,0.0,893865,1121,35160.0,1121010700.0,0,Todd case,2015-04-21 12:25:12.397,Atlantic Time (Canada),,33.433348,-86.112861,1.0,Black,nigga,,,,,0.0,1,1.0,,,,0.0,,,,,,,,lynn,,-1.0,0.0,1.0,01121010700,93.0,cause shawty you ain all that if you wanna be really truthful niggas just thirsty,0
35,Alabama,AL,01,716819347650383872g,"@intmtnsp @RobTmanJr role in leading the Church, and that female emotion now has too much influence on decisions, including refugees.",-1,1.0,0,,,,,893865,1125,35405.0,1125012303.0,0,DJ JAE #DAFUTURE,2016-04-03 21:07:59.714,Mountain Time (US & Canada),1057.0,33.17438701,-87.49763342,0.0,refugees,refugee,refugees,,,,0.0,1,,1.0,,,,0.0,,,,,,,shrikha,,-1.0,0.0,1.0,01125012303,93.0,role in leading the church and that female emotion now has too much influence on decisions including refugees,0
36,Alabama,AL,01,592365549767692289g,I been rapping 1 year n 4 months shit sound way better than u niggas smh,-1,0.0,0,0.0,,0.0,0.0,893865,1101,36117.0,1101005407.0,0,Digital Dave,2015-04-26 10:32:07.505,null,,32.374641,-86.166199,1.0,Black,nigga,,,,,0.0,1,1.0,,,,0.0,,,,,,,,lynn,,-1.0,0.0,1.0,01101005407,93.0,been rapping year months shit sound way better than niggas smh,0
37,Alabama,AL,01,592096279594938368g,"I'm at Lek's Taste Of Thailand in Montgomery, AL https://t.co/fqCFawge6n",0,0.0,1,0.0,,0.0,0.0,893865,1101,36109.0,1101002600.0,0,Ass,2015-04-25 16:42:08.547,Central Time (US & Canada),,32.383637,-86.213129,0.0,Asian,thai,,,,,0.0,1,,,,1.0,,,,0.0,,,,,lynn,,0.0,0.0,0.0,01101002600,93.0,at lek taste of thailand in montgomery al,0
38,Alabama,AL,01,591008781384945664g,Catch me why ain strap niggahthat a never happened,0,0.0,0,0.0,,0.0,0.0,893865,1101,36109.0,1101001700.0,0,Hannah Sudduth,2015-04-22 16:40:52.072,null,,32.362867,-86.259155,1.0,Black,nigga,,,,,0.0,1,1.0,,,,0.0,,,,,,,,lynn,,0.0,0.0,0.0,01101001700,93.0,catch me why ain strap niggahthat never happened,0
39,Alabama,AL,01,700388143741214720g,Thank you to Bancroft Staffing for their Mexican Bingo (Lotera) Night prize donation.   You https://t.co/tq98ia0QYO,0,,0,,,,,893865,1073,35233.0,1073002400.0,1,Mercy Jobs,2016-02-18 11:35:20.985,Eastern Time (US & Canada),125.0,33.5167007,-86.790329,0.0,Hispanic,mexican,,,,,1.0,1,,,1.0,,,,1.0,,,1.0,,1.0,shrikha,,0.0,0.0,0.0,01073002400,93.0,thank you to bancroft staffing for their mexican bingo lotera night prize donation you,0
40,Alabama,AL,01,591303837115375616g,Young nigga preach,1,0.0,0,0.0,,0.0,0.0,893865,1051,36054.0,1051031100.0,0,Bekah,2015-04-23 12:13:17.431,null,,32.493146,-86.36176,1.0,Black,nigga,,,,,0.0,1,1.0,,,,0.0,,,,,,,,lynn,,1.0,1.0,0.0,01051031100,93.0,young nigga preach,1
41,Alabama,AL,01,588824134047506432g,Do niggas really be paying their girl abortion money tho? That's fucked up,-1,0.0,0,0.0,,0.0,0.0,893865,1073,35244.0,1073014408.0,0,Danielle Alford,2015-04-16 15:59:48.395,Central Time (US & Canada),,33.367382,-86.809253,1.0,Black,nigga,,,,,0.0,1,1.0,,,,0.0,,,,,,,,ryan,,-1.0,0.0,1.0,01073014408,93.0,do niggas really be paying their girl abortion money tho that fucked up,0
42,Alabama,AL,01,705967379671429120g,Go dig ya partna up nigga bet he can't say shit!!!,-1,,0,,,,,893865,1097,36608.0,1097003301.0,1,Madie Clifford,2016-03-04 21:05:14.319,Pacific Time (US & Canada),621.0,30.678402,-88.135234,1.0,Black,nigga,,,,,1.0,1,1.0,,,,1.0,,,,,,,,shrikha,,-1.0,0.0,1.0,01097003301,93.0,go dig ya partna up nigga bet he can not say shit,0
43,Alabama,AL,01,590577635333431296g,"Yo ex nigga, yo next nigga gone hate the fact that I'm spoiling .",-1,0.0,0,0.0,,0.0,0.0,893865,1073,35216.0,1073012915.0,0,Nash Grier,2015-04-21 12:07:35.604,Eastern Time (US & Canada),,33.424394,-86.801184,1.0,Black,nigga,,,,,0.0,1,1.0,,,,0.0,,,,,,,,lynn,,-1.0,0.0,1.0,01073012915,93.0,yo ex nigga yo next nigga gone hate the fact that spoiling,0
44,Alabama,AL,01,717702516390006784g,This #Banking #job might be a great fit for you: Teller - Part Time (30 hours) - Indian Hills Branch - https://t.co/6TSoLqGWtF #regions,0,,0,,,,,893865,1125,35401.0,1125011600.0,0,AustinChicagolicious,2016-04-06 07:16:29.589,Central Time (US & Canada),861.0,33.2098407,-87.5691735,0.0,,indian,,,,,0.0,1,,,,,,,,,,,,,shrikha,,0.0,0.0,0.0,01125011600,93.0,this banking job might be great fit for you teller part time hours indian hills branch regions,0
45,Alabama,AL,01,588844918703005697g,Niggah got NO friends bruh  RT @BreaJae: @LL_Big_B https://t.co/u76ZUNahm5,-1,0.0,0,0.0,,0.0,0.0,893865,1087,36088.0,1087231700.0,0,Green Wave Athletics,2015-04-16 17:22:23.931,Central Time (US & Canada),,32.430274,-85.706183,1.0,Black,nigga,,,,,0.0,1,1.0,,,,0.0,,,,,,,,ryan,,-1.0,0.0,1.0,01087231700,93.0,niggah got no friends bruh rt,0
46,Alabama,AL,01,696809464524046337g,"! (Gong Xi Fa Cai) Wishing everyone a happy and prosperous Chinese new year, from ASC! @ https://t.co/mRtLNLpxZp",1,,0,,,,,893865,1073,35233.0,1073004500.0,1,"Frisco, TX News",2016-02-08 14:34:57.443,Central Time (US & Canada),4944.0,33.49679952,-86.80763927,0.0,Asian,chinese,,,,,1.0,1,,,,1.0,,,,1.0,,,,,shrikha,,1.0,1.0,0.0,01073004500,93.0,gong xi fa cai wishing everyone happy and prosperous chinese new year from asc,1
47,Alabama,AL,01,591593089493561345g,Well didn't have too much to say yesterday but guess what  a nigga like meh leaving in a few hours to go to New Orleans,-1,0.0,0,0.0,,0.0,0.0,893865,1073,35203.0,1073002700.0,0,CARY GRONEVELDT,2015-04-24 07:22:38.477,Pacific Time (US & Canada),,33.520097,-86.803129,1.0,Black,nigga,,,,,0.0,1,1.0,,,,0.0,,,,,,,,lynn,,-1.0,0.0,1.0,01073002700,93.0,well did not have too much to say yesterday but guess what nigga like meh leaving in few hours to go to new orleans,0
48,Alabama,AL,01,587847495171964928g,What about yo first love huh ? He played it cold didn't he ? Made a nigga shed a tear then he changed a nigga,-1,0.0,0,0.0,,0.0,0.0,893865,1097,36605.0,1097001902.0,1,Kendrick,2015-04-13 23:18:59.418,null,,30.600366,-88.106216,1.0,Black,nigga,,,,,1.0,1,1.0,,,,1.0,,,,,,,,ryan,,-1.0,0.0,1.0,01097001902,93.0,what about yo first love huh he played it cold did not he made nigga shed tear then he changed nigga,0
49,Alabama,AL,01,589289930154729472g,Ion fw these niggas cause they shady,-1,0.0,0,0.0,,0.0,0.0,893865,1101,36117.0,1101005402.0,0,,2015-04-17 22:50:42.706,Eastern Time (US & Canada),,32.399214,-86.189705,1.0,Black,nigga,,,,,0.0,1,1.0,,,,0.0,,,,,,,,ryan,,-1.0,0.0,1.0,01101005402,93.0,ion fw these niggas cause they shady,0
50,Alabama,AL,01,591792846660771840g,At my nigga @SSMaleknia's house!,1,0.0,0,0.0,,0.0,0.0,893865,1089,35811.0,1089000901.0,0,Gabriela,2015-04-24 20:36:24.600,null,,34.761791,-86.555575,1.0,Black,nigga,,,,,0.0,1,1.0,,,,0.0,,,,,,,,lynn,,1.0,1.0,0.0,01089000901,93.0,at my nigga house,1
51,Alabama,AL,01,590321608126029824g,@BelloB_ stop cryin nigga,0,0.0,0,0.0,,0.0,0.0,893865,1101,36107.0,1101001600.0,0,Ya Fav Darkskin,2015-04-20 19:10:14.027,null,,32.368646,-86.271013,1.0,Black,nigga,,,,,0.0,1,1.0,,,,0.0,,,,,,,,ryan,,0.0,0.0,0.0,01101001600,93.0,stop cryin nigga,0
52,Alabama,AL,01,590065404485181440g,"@bathbodyworks: Try America's #1 Fragrance, #JapaneseCherryBlossom! https://t.co/OHvbjcdsWG http://t.co/ZZ3eG6Ldzp"" my #1 for sure!",1,0.0,0,0.0,,0.0,0.0,893865,1071,35772.0,1071950300.0,1,Efren,2015-04-20 02:12:10.458,null,,34.87264,-85.823869,0.0,Asian,japanese,,,,,1.0,1,,,,1.0,,,,1.0,,,,,ryan,,1.0,1.0,0.0,01071950300,93.0,try america fragrance japanesecherryblossom my for sure,1
53,Alabama,AL,01,588217966313005056g,Niggas Put To Much Trust In They Girls Like they Ain't Gone Do Shit ppl Foolish,-1,0.0,0,0.0,,0.0,0.0,893865,1097,36610.0,1097004000.0,0,Armando,2015-04-14 23:51:06.663,Arizona,,30.74329,-88.100739,1.0,Black,nigga,,,,,0.0,1,1.0,,,,0.0,,,,,,,,ryan,,-1.0,0.0,1.0,01097004000,93.0,niggas put to much trust in they girls like they ain gone do shit ppl foolish,0
54,Alabama,AL,01,722098185049632768g,"dude I'm not gay"" has been said at many Ted Cruz rallies. He thinks the pride flag is a slogan of all immigration employees from WalMart",-1,,0,,,,,893865,1105,36756.0,1105687000.0,0,Dj Lavishlee,2016-04-18 10:23:18.646,Central Time (US & Canada),3228.0,32.63282625,-87.31744632,0.0,immigrant,immigration,,,,,0.0,1,,,1.0,,,,0.0,,,,,,shrikha,,-1.0,0.0,1.0,01105687000,93.0,dude not gay has been said at many ted cruz rallies he thinks the pride flag is slogan of all immigration employees from walmart,0
55,Alabama,AL,01,692871740666417153g,Just posted a photo @ Mikata Japanese Steakhouse and Sushi Bar https://t.co/NG8KqWxCZu,0,,0,,,,,893865,1069,36303.0,1069040302.0,0,Bethany Stephens,2016-01-28 17:47:50.794,Central Time (US & Canada),363.0,31.26746296,-85.44363044,0.0,Asian,japanese,,,,,0.0,1,,,,1.0,,,,0.0,,,,,shrikha,,0.0,0.0,0.0,01069040302,93.0,just posted photo mikata japanese steakhouse and sushi bar,0
56,Alabama,AL,01,588766389806223361g,Young nigga but im ready,1,0.0,0,0.0,,0.0,0.0,893865,1073,35020.0,1073013801.0,0,Briellee,2015-04-16 12:10:20.998,null,,33.409079,-86.9833,1.0,Black,nigga,,,,,0.0,1,1.0,,,,0.0,,,,,,,,ryan,,1.0,1.0,0.0,01073013801,93.0,young nigga but im ready,1
57,Alabama,AL,01,723211238029697024g,What. The. Fuck. #prince #2016sucks @ Indian Hills Apartments https://t.co/8EXzc3QtaH,-1,,0,,,,,893865,1015,36207.0,1015001000.0,0,rosscmary@gmail.com,2016-04-21 12:06:11.156,null,66.0,33.62862676,-85.81926815,0.0,,indian,,,,,0.0,1,,,,,,,,,,,,,shrikha,,-1.0,0.0,1.0,01015001000,93.0,what the fuck prince sucks indian hills apartments,0
58,Alabama,AL,01,590611966772785153g,If you have the SAME problem with the SAME nigga but with DIFFERENT female  then that should tell yo dumb ass some,-1,0.0,0,0.0,,0.0,0.0,893865,1125,35401.0,1125011200.0,0,mary,2015-04-21 14:24:00.998,Central Time (US & Canada),,33.204573,-87.526608,1.0,Black,nigga,,,,,0.0,1,1.0,,,,0.0,,,,,,,,lynn,,-1.0,0.0,1.0,01125011200,93.0,if you have the same problem with the same nigga but with different female then that should tell yo dumb ass some,0
59,Alabama,AL,01,589819715465433089g,nigga pleeeaasseeeee,0,0.0,0,0.0,,0.0,0.0,893865,1101,36064.0,1101005604.0,0,Real Life Church MN,2015-04-19 09:55:53.256,Eastern Time (US & Canada),,32.209871,-86.116465,1.0,Black,nigga,,,,,0.0,1,1.0,,,,0.0,,,,,,,,ryan,,0.0,0.0,0.0,01101005604,93.0,nigga pleeeaasseeeee,0
